001,Caderno Universitario 200 Folhas,UN,2,24.90,49.80
002,Caneta Esferografica Azul,UN,10,2.50,25.00
003,Lapis Preto HB,UN,12,1.20,14.40
004,Borracha Branca Escolar,UN,5,1.80,9.00
005,Apontador com Deposito,UN,3,4.50,13.50
006,Mochila Escolar Preta,UN,1,129.90,129.90
007,Garrafa Termica Inox 500ml,UN,2,45.00,90.00
008,Mouse USB Optico,UN,4,32.90,131.60
009,Teclado USB ABNT2,UN,2,59.90,119.80
010,Monitor LED 24 Polegadas,UN,1,899.90,899.90
011,Cadeira Escritorio Ergonomica,UN,1,650.00,650.00
012,Suporte para Notebook,UN,3,39.90,119.70
013,Pen Drive 32GB,UN,6,28.50,171.00
014,HD Externo 1TB,UN,2,399.90,799.80
015,Cabo HDMI 2 Metros,UN,5,19.90,99.50
016,Fonte ATX 500W,UN,2,249.90,499.80
017,Processador Octa Core,UN,1,1250.00,1250.00
018,Memoria RAM 16GB DDR4,UN,2,320.00,640.00
019,SSD 480GB SATA,UN,3,289.90,869.70
020,Webcam Full HD,UN,2,159.90,319.80
021,Fone de Ouvido Bluetooth,UN,4,89.90,359.60
022,Caixa de Som USB,UN,2,79.90,159.80
023,Smartphone Android 128GB,UN,1,1899.90,1899.90
024,Carregador USB-C 20W,UN,3,49.90,149.70
025,Impressora Multifuncional,UN,1,799.90,799.90
026,Papel Sulfite A4 500 Folhas,CX,4,34.90,139.60
027,Toner Impressora Preto,UN,2,119.90,239.80
028,Grampeador Metalico,UN,2,27.50,55.00
029,Agenda Executiva 2026,UN,3,39.90,119.70
030,Calculadora Cientifica,UN,2,89.90,179.80